accountsservice 0.6.45-1
acpi 1.7-2
acpid 2.0.28-1
adapta-gtk-theme 3.91.0.150-1
alsa-utils 1.1.4-1
android-tools 7.1.2_r27-1
antergos-keyring 20170524-1
antergos-mirrorlist 20170527-2
antergos-wallpapers 0.7-1
apache-ant 1.9.7-1
arc-icon-theme 20161122-1
arc-osx-icon-theme-git 1.0.0.r27.g2d8c959-1
at 3.1.20-3
audacity 2.1.3-1
autoconf 2.69-4
automake 1.15.1-1
b43-fwcutter 019-1
bash 4.4.012-2
bash-completion 2.7-1
bind-tools 9.11.2-2
binutils 2.28.0-4
bison 3.0.4-3
blueberry 1.1.15-1
bluez-utils 5.46-1
boinc-nox 7.6.33-5
btrfs-progs 4.12-1
bzip2 1.0.6-6
bzr 2.7.0-2
cdrtools 3.02a07-2
chromium 60.0.3112.113-1
cmake 3.9.1-1
cmus 2.7.1-8
compton 0.1_beta2.5-8
coreutils 8.27-1
crda 3.18-1
cryptsetup 1.7.5-1
cups 2.2.4-2
cups-pdf 3.0.1-1
cups-pk-helper 0.2.6-1
device-mapper 2.02.173-1
dhcpcd 6.11.5-1
diffutils 3.6-1
dmraid 1.0.0.rc16.3-10
dosfstools 4.1-1
dropbox 32.4.23-1
e2fsprogs 1.43.5-1
evince 3.24.1-1
exfat-utils 1.2.7-1
exo 0.11.5-1
f2fs-tools 1.8.0-1
fakeroot 1.21-2
feh 2.19.3-1
ffmpegthumbnailer 2.2.0-1
file 5.31-1
file-roller 3.24.1-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 55.0.2-1
flashplugin 26.0.0.151-1
flex 2.6.4-1
gamin 0.1.10-8
garcon 0.6.1-1
gawk 4.1.4-2
gcc 7.1.1-4
gcc-libs 7.1.1-4
gettext 0.19.8.1-2
gimp 2.8.22-1
git 2.14.1-1
glibc 2.25-7
gnome-calculator 3.24.0+2+g0ca2919b-1
gnome-disk-utility 3.24.1-1
gnome-keyring 1:3.20.0+57+g9db67ef6-1
gobject-introspection 1.52.1-1
gparted 0.29.0-2
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-1
